content_filtered,3-gram
"['platform', 'tulis', 'suka', 'penjuru', 'dunia', 'cerita', 'hidup', 'baca', 'tulis', 'cerita', 'orisinal', 'bahasa', 'platform', 'cerita', 'sosial', 'meng', 'hub', 'ung', 'komunitas', 'global', 'kuat', 'cerita', 'simpan', 'baca', 'tulis', 'gabung', 'anggota', 'komunitas', 'cinta', 'cerita', 'internasional', 'baca', 'tulis', 'antusias', 'komentar', 'cerita', 'baca', 'da']","[('platform', 'tulis', 'suka'), ('tulis', 'suka', 'penjuru'), ('suka', 'penjuru', 'dunia'), ('penjuru', 'dunia', 'cerita'), ('dunia', 'cerita', 'hidup'), ('cerita', 'hidup', 'baca'), ('hidup', 'baca', 'tulis'), ('baca', 'tulis', 'cerita'), ('tulis', 'cerita', 'orisinal'), ('cerita', 'orisinal', 'bahasa'), ('orisinal', 'bahasa', 'platform'), ('bahasa', 'platform', 'cerita'), ('platform', 'cerita', 'sosial'), ('cerita', 'sosial', 'meng'), ('sosial', 'meng', 'hub'), ('meng', 'hub', 'ung'), ('hub', 'ung', 'komunitas'), ('ung', 'komunitas', 'global'), ('komunitas', 'global', 'kuat'), ('global', 'kuat', 'cerita'), ('kuat', 'cerita', 'simpan'), ('cerita', 'simpan', 'baca'), ('simpan', 'baca', 'tulis'), ('baca', 'tulis', 'gabung'), ('tulis', 'gabung', 'anggota'), ('gabung', 'anggota', 'komunitas'), ('anggota', 'komunitas', 'cinta'), ('komunitas', 'cinta', 'cerita'), ('cinta', 'cerita', 'internasional'), ('cerita', 'internasional', 'baca'), ('internasional', 'baca', 'tulis'), ('baca', 'tulis', 'antusias'), ('tulis', 'antusias', 'komentar'), ('antusias', 'komentar', 'cerita'), ('komentar', 'cerita', 'baca'), ('cerita', 'baca', 'da')]"
"['masuk', 'keluar', 'keluar', 'suka', 'hapus', 'donwload', 'masuk']","[('masuk', 'keluar', 'keluar'), ('keluar', 'keluar', 'suka'), ('keluar', 'suka', 'hapus'), ('suka', 'hapus', 'donwload'), ('hapus', 'donwload', 'masuk')]"
"['login', 'in']",[]
"['bug', 'ngeleg', 'smnjk', 'diupdate', 'update', 'lama', 'loadingnya', 'jaring', 'cerita', 'offline', 'wktu', 'baik', 'gbsa', 'luas', 'bca', 'cerita']","[('bug', 'ngeleg', 'smnjk'), ('ngeleg', 'smnjk', 'diupdate'), ('smnjk', 'diupdate', 'update'), ('diupdate', 'update', 'lama'), ('update', 'lama', 'loadingnya'), ('lama', 'loadingnya', 'jaring'), ('loadingnya', 'jaring', 'cerita'), ('jaring', 'cerita', 'offline'), ('cerita', 'offline', 'wktu'), ('offline', 'wktu', 'baik'), ('wktu', 'baik', 'gbsa'), ('baik', 'gbsa', 'luas'), ('gbsa', 'luas', 'bca'), ('luas', 'bca', 'cerita')]"
"['apikasinya', 'wifi']",[]
"['susah', 'bab']",[]
"['error', 'masuk']",[]
"['sinyal', 'sana', 'sinyal']","[('sinyal', 'sana', 'sinyal')]"
"['cerita', 'seru', 'aneh', 'tulis', 'notifikasi', 'lonceng', 'bell', 'reset', 'aneh']","[('cerita', 'seru', 'aneh'), ('seru', 'aneh', 'tulis'), ('aneh', 'tulis', 'notifikasi'), ('tulis', 'notifikasi', 'lonceng'), ('notifikasi', 'lonceng', 'bell'), ('lonceng', 'bell', 'reset'), ('bell', 'reset', 'aneh')]"
"['hapus', 'seru', 'baca', 'besok', 'cerita', 'hapus', 'paham']","[('hapus', 'seru', 'baca'), ('seru', 'baca', 'besok'), ('baca', 'besok', 'cerita'), ('besok', 'cerita', 'hapus'), ('cerita', 'hapus', 'paham')]"
"['nambah', 'nambah', 'bug', 'suka', 'keluar', 'notifikasi', 'layar', 'utama', 'cerita']","[('nambah', 'nambah', 'bug'), ('nambah', 'bug', 'suka'), ('bug', 'suka', 'keluar'), ('suka', 'keluar', 'notifikasi'), ('keluar', 'notifikasi', 'layar'), ('notifikasi', 'layar', 'utama'), ('layar', 'utama', 'cerita')]"
