userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt
Lucinda Akun,𝑑𝑒𝑣 𝑠𝑢𝑚𝑝𝑎ℎ 𝑖𝑛𝑖 𝑘𝑛𝑝 𝑗𝑑 𝑠𝑢𝑠𝑎ℎ 𝑏𝑔𝑡 𝑦 𝑑𝑟𝑎𝑓 𝑐𝑒𝑟𝑖𝑡𝑎𝑘𝑢 𝑔 𝑏𝑖𝑠𝑎 𝑑𝑖𝑏𝑢𝑘𝑎 𝑎𝑘𝑢 𝑐𝑜𝑏𝑎 𝑟𝑒𝑠𝑡𝑎𝑟𝑑 𝑢𝑙𝑎𝑛𝑔 𝑒ℎ 𝑝𝑎𝑠 𝑙𝑜𝑔𝑖𝑛 𝑛𝑦𝑎 𝑚𝑎𝑙𝑎ℎ 𝑔 𝑏𝑖𝑠𝑎 𝑚𝑎𝑠𝑢𝑘 𝑔𝑚𝑛 𝑠𝑖 𝑡𝑜𝑙𝑜𝑛𝑔𝑖𝑛 𝑙𝑎ℎ. 𝑠𝑒𝑏𝑒𝑙𝑢𝑚𝑛𝑦𝑎 𝑖𝑛𝑖 𝑔 𝑝𝑟𝑛ℎ 𝑡𝑒𝑟𝑗𝑎𝑑𝑖 𝑙𝑜ℎ 𝑠𝑘𝑟𝑔 𝑏𝑛𝑦𝑘 𝑘𝑒𝑛𝑑𝑎𝑙𝑎 𝑏𝑘𝑛 𝑝𝑢𝑠𝑖𝑛𝑔 𝑎𝑗.,3,,2025-10-01 06:52:56,,
Muthiah Mutik tiah tiol,wp aπj,1,11.15.1,2025-10-01 06:34:39,,
Lila Permatasari,"Bisa gak buat fitur eliminasi? Ya gak sih namanya. Ya pokoknya fitur yang bisa buat kita milih gak mau genre ini gitu untuk genre yang kita gak mau. Muak banget sama transmigrasi😩 atau apalah itu yang perpindahan jiwa itu, di setiap genre yang kita pilih selalu nyempil mana pencarian teratas terus. Cerita yang bagus"" Malah Tertimbun. Sama iklannya bikin frustasi. Minimal 3 atau 4 hal gitu baru iklan, ini argghhh masa setiap gulir hal selalu iklan",3,10.87.0,2025-10-01 03:03:19,,
Gaisuke Alvaza,seruuuu pokonyaaa,5,11.15.1,2025-10-01 02:17:35,,
Edy Gordoo,"aplikasi nya tolong di perbaiki lagi, masih ada beberapa bug yg bikin aku rada sebel, yaitu kadang klo buka suka bgt di suruh login trus padahal udh login . dan kadang ga bisa beri komentar apapun, kadang jg bagian notif suka ngilang sendiri . 🙏 ku harap admin bisa memperbaiki apk ini, sekian terimakasih ..",4,11.15.1,2025-09-30 21:01:21,,
Haruitsuki,"tiba-tiba banyak buku yg ilang, ngeselin bgt",1,,2025-09-30 20:11:07,,
Lastri Hutabarat,Bintang 1 karena sudah seminggu setiap mau login selalu eror dan ga bisa masuk,1,10.34.1,2025-09-30 16:18:26,,
Panges Tika,seringg error ah ngeselinnn,1,11.15.1,2025-09-30 16:17:57,,
Holipah Bwi,"kok ga bisa daftar sih sih, padahal udah berkali-kali nyoba tetap ngga bisa",1,,2025-09-30 16:14:01,,
Given Yesaya,"makin ke sini makin gmna gitu, sinyal oke wifi oke data ok cache jg oke tapi pas mau di baca GK bisa disuruh periksa jaringan/jaringan bermasalah, ini yg bermasalah server Wattpad atau gmna dah!????",3,,2025-09-30 15:31:53,,
